AUC	Sample	Drug1	PredictedAUC	AUCError
0.838	ACH-000001	Drug_1563	0.9486	0.1106
1	ACH-000001	Drug_1563	0.954	-0.04603
0.8154	ACH-000002	Drug_1563	0.9422	0.1268
0.8376	ACH-000002	Drug_1563	0.9406	0.103
0.8408	ACH-000002	Drug_1563	0.9148	0.074
0.8451	ACH-000004	Drug_1563	0.9094	0.06434
0.8468	ACH-000004	Drug_1563	0.9234	0.07664
0.9979	ACH-000004	Drug_1563	0.9235	-0.07439
0.966	ACH-000005	Drug_1563	0.9402	-0.02581
0.8018	ACH-000006	Drug_1563	0.8654	0.06361
0.8397	ACH-000006	Drug_1563	0.8584	0.01868
0.8908	ACH-000006	Drug_1563	0.8788	-0.01197
0.8326	ACH-000007	Drug_1563	0.9061	0.07354
0.8481	ACH-000007	Drug_1563	0.9276	0.07948
0.8693	ACH-000007	Drug_1563	0.934	0.0647
0.8628	ACH-000008	Drug_1563	0.9215	0.05875
0.8734	ACH-000008	Drug_1563	0.9288	0.05538
0.8785	ACH-000008	Drug_1563	0.9295	0.05099
0.7809	ACH-000009	Drug_1563	0.9511	0.1702
0.9422	ACH-000009	Drug_1563	0.9138	-0.02844
0.9601	ACH-000009	Drug_1563	0.9183	-0.04181
0.8252	ACH-000012	Drug_1563	0.926	0.1008
0.9282	ACH-000012	Drug_1563	0.9307	0.002547
0.9453	ACH-000012	Drug_1563	0.9447	-0.000589
0.9496	ACH-000012	Drug_1563	0.9458	-0.003783
0.9785	ACH-000012	Drug_1563	0.9354	-0.04307
0.8876	ACH-000013	Drug_1563	0.9168	0.02918
0.9152	ACH-000018	Drug_1563	0.9242	0.009011
0.8375	ACH-000019	Drug_1563	0.9326	0.09507
0.9103	ACH-000019	Drug_1563	0.9206	0.01029
0.9738	ACH-000019	Drug_1563	0.9132	-0.06063
0.8378	ACH-000020	Drug_1563	0.9072	0.06937
0.7979	ACH-000022	Drug_1563	0.9198	0.1219
0.8867	ACH-000023	Drug_1563	0.9389	0.05218
0.8931	ACH-000023	Drug_1563	0.9646	0.07151
0.925	ACH-000023	Drug_1563	0.9597	0.03474
0.7943	ACH-000024	Drug_1563	0.8962	0.1019
0.7945	ACH-000024	Drug_1563	0.9179	0.1234
0.8205	ACH-000024	Drug_1563	0.895	0.07452
0.9701	ACH-000024	Drug_1563	0.8942	-0.07589
0.7484	ACH-000027	Drug_1563	0.9512	0.2028
0.8083	ACH-000028	Drug_1563	0.9429	0.1346
0.8942	ACH-000032	Drug_1563	0.9208	0.02658
0.8854	ACH-000035	Drug_1563	0.9462	0.06079
0.932	ACH-000035	Drug_1563	0.9324	0.0003705
0.8464	ACH-000038	Drug_1563	0.9404	0.09404
0.8521	ACH-000038	Drug_1563	0.9479	0.09584
0.9056	ACH-000039	Drug_1563	0.9243	0.01872
0.7541	ACH-000040	Drug_1563	0.9112	0.1571
0.9088	ACH-000040	Drug_1563	0.9305	0.02171
0.9624	ACH-000040	Drug_1563	0.9281	-0.03425
0.9742	ACH-000040	Drug_1563	0.9234	-0.0508
0.8197	ACH-000042	Drug_1563	0.9717	0.152
0.8447	ACH-000042	Drug_1563	0.9638	0.1191
0.9392	ACH-000042	Drug_1563	0.9334	-0.005757
0.8979	ACH-000046	Drug_1563	0.9703	0.07242
0.908	ACH-000046	Drug_1563	0.9466	0.03861
0.9535	ACH-000046	Drug_1563	0.9267	-0.02685
0.8503	ACH-000048	Drug_1563	0.8991	0.04884
0.8623	ACH-000048	Drug_1563	0.9111	0.0488
0.9221	ACH-000048	Drug_1563	0.9297	0.007604
0.8236	ACH-000050	Drug_1563	0.9134	0.08985
0.7495	ACH-000051	Drug_1563	0.8955	0.146
0.6937	ACH-000052	Drug_1563	0.9307	0.237
0.7255	ACH-000052	Drug_1563	0.938	0.2125
0.8783	ACH-000052	Drug_1563	0.9337	0.05543
0.945	ACH-000052	Drug_1563	0.9377	-0.007303
0.9928	ACH-000052	Drug_1563	0.9207	-0.07212
0.9936	ACH-000052	Drug_1563	0.8993	-0.09432
0.6998	ACH-000054	Drug_1563	0.9134	0.2136
0.9572	ACH-000054	Drug_1563	0.9269	-0.03034
0.9626	ACH-000054	Drug_1563	0.9649	0.002257
0.9196	ACH-000055	Drug_1563	0.9111	-0.008523
0.9944	ACH-000055	Drug_1563	0.9265	-0.0679
0.9988	ACH-000055	Drug_1563	0.9338	-0.06503
0.7198	ACH-000056	Drug_1563	0.8514	0.1316
0.8372	ACH-000058	Drug_1563	0.9225	0.08532
0.9113	ACH-000058	Drug_1563	0.9176	0.006266
0.9806	ACH-000058	Drug_1563	0.9012	-0.07941
0.7641	ACH-000059	Drug_1563	0.9204	0.1563
0.8075	ACH-000059	Drug_1563	0.916	0.1085
0.8531	ACH-000060	Drug_1563	0.9446	0.09151
0.9695	ACH-000060	Drug_1563	0.9066	-0.06287
0.72	ACH-000061	Drug_1563	0.8626	0.1426
0.8051	ACH-000061	Drug_1563	0.8691	0.064
0.9221	ACH-000062	Drug_1563	0.9345	0.01242
0.9275	ACH-000062	Drug_1563	0.9466	0.01909
0.931	ACH-000062	Drug_1563	0.9318	0.0008079
0.9665	ACH-000062	Drug_1563	0.9305	-0.03603
0.7832	ACH-000065	Drug_1563	0.9367	0.1535
0.8094	ACH-000065	Drug_1563	0.913	0.1036
0.8243	ACH-000065	Drug_1563	0.8709	0.04661
0.8595	ACH-000065	Drug_1563	0.9136	0.05414
0.744	ACH-000067	Drug_1563	0.9183	0.1743
0.8965	ACH-000067	Drug_1563	0.9282	0.03167
1	ACH-000067	Drug_1563	0.9293	-0.07071
0.9863	ACH-000068	Drug_1563	0.9404	-0.04589
0.7205	ACH-000069	Drug_1563	0.8903	0.1698
0.7509	ACH-000070	Drug_1563	0.88	0.1291
0.7531	ACH-000070	Drug_1563	0.8866	0.1335
0.7597	ACH-000070	Drug_1563	0.8492	0.08951
0.7649	ACH-000070	Drug_1563	0.8811	0.1162
0.7862	ACH-000070	Drug_1563	0.8289	0.0427
0.8116	ACH-000070	Drug_1563	0.8987	0.08711
0.7658	ACH-000072	Drug_1563	0.9105	0.1447
0.7919	ACH-000072	Drug_1563	0.9123	0.1204
0.7508	ACH-000073	Drug_1563	0.9118	0.161
0.8853	ACH-000073	Drug_1563	0.936	0.05074
0.9129	ACH-000073	Drug_1563	0.9344	0.02154
0.7381	ACH-000074	Drug_1563	0.9297	0.1916
0.7722	ACH-000074	Drug_1563	0.852	0.07982
0.8194	ACH-000074	Drug_1563	0.8953	0.0759
0.8552	ACH-000075	Drug_1563	0.9554	0.1002
0.8713	ACH-000075	Drug_1563	0.9542	0.08288
0.9871	ACH-000075	Drug_1563	0.9477	-0.0394
1	ACH-000075	Drug_1563	0.9685	-0.03152
0.7557	ACH-000076	Drug_1563	0.8835	0.1278
