AUC	Sample	Drug1	PredictedAUC	AUCError
0.9667	ACH-000001	Drug_1221	0.9555	-0.01117
0.9053	ACH-000002	Drug_1221	0.9148	0.009491
0.9736	ACH-000002	Drug_1221	0.9363	-0.03727
0.8687	ACH-000004	Drug_1221	0.9079	0.03924
0.8745	ACH-000004	Drug_1221	0.9088	0.03433
0.8887	ACH-000005	Drug_1221	0.8841	-0.004555
0.8376	ACH-000006	Drug_1221	0.8861	0.0485
0.9185	ACH-000006	Drug_1221	0.8544	-0.06415
0.9419	ACH-000007	Drug_1221	0.9525	0.01062
0.9443	ACH-000007	Drug_1221	0.9478	0.003546
0.9884	ACH-000007	Drug_1221	0.9381	-0.05027
0.905	ACH-000008	Drug_1221	0.9508	0.04575
0.9466	ACH-000008	Drug_1221	0.9491	0.002534
0.954	ACH-000009	Drug_1221	0.9735	0.01948
0.9719	ACH-000009	Drug_1221	0.9531	-0.01876
0.9033	ACH-000011	Drug_1221	0.9248	0.02147
0.9096	ACH-000012	Drug_1221	0.9641	0.05449
0.9451	ACH-000012	Drug_1221	0.9518	0.006704
0.9466	ACH-000012	Drug_1221	0.9615	0.01486
0.9661	ACH-000012	Drug_1221	0.952	-0.01414
0.8749	ACH-000013	Drug_1221	0.9388	0.06389
0.9815	ACH-000014	Drug_1221	0.9504	-0.03111
0.9785	ACH-000017	Drug_1221	0.9482	-0.03026
0.9374	ACH-000018	Drug_1221	0.9371	-0.0002596
0.9463	ACH-000019	Drug_1221	0.943	-0.003279
0.9821	ACH-000019	Drug_1221	0.9269	-0.0552
0.9306	ACH-000022	Drug_1221	0.9217	-0.008861
0.9388	ACH-000023	Drug_1221	0.9376	-0.001175
0.9766	ACH-000023	Drug_1221	0.9588	-0.0178
0.8098	ACH-000024	Drug_1221	0.9166	0.1068
0.9771	ACH-000027	Drug_1221	0.9569	-0.02024
0.9363	ACH-000028	Drug_1221	0.9483	0.01203
0.949	ACH-000032	Drug_1221	0.9056	-0.04342
0.9826	ACH-000035	Drug_1221	0.9342	-0.04837
0.9355	ACH-000038	Drug_1221	0.9347	-0.0007655
0.9666	ACH-000038	Drug_1221	0.91	-0.05663
0.9091	ACH-000039	Drug_1221	0.9072	-0.001938
0.9564	ACH-000040	Drug_1221	0.9506	-0.005763
0.9837	ACH-000040	Drug_1221	0.9357	-0.04803
0.995	ACH-000042	Drug_1221	0.9448	-0.05018
1	ACH-000042	Drug_1221	0.9446	-0.05539
0.8744	ACH-000046	Drug_1221	0.9444	0.07004
0.9605	ACH-000046	Drug_1221	0.9486	-0.01189
0.8595	ACH-000048	Drug_1221	0.9244	0.06488
0.8656	ACH-000048	Drug_1221	0.9253	0.05973
0.9409	ACH-000050	Drug_1221	0.9302	-0.01072
0.9655	ACH-000051	Drug_1221	0.9384	-0.02707
0.8817	ACH-000052	Drug_1221	0.911	0.02934
0.9104	ACH-000052	Drug_1221	0.914	0.00356
0.9235	ACH-000054	Drug_1221	0.9282	0.004679
0.957	ACH-000054	Drug_1221	0.924	-0.03296
0.8546	ACH-000055	Drug_1221	0.8775	0.02288
0.9203	ACH-000055	Drug_1221	0.9086	-0.01174
0.9229	ACH-000055	Drug_1221	0.9097	-0.0132
0.897	ACH-000056	Drug_1221	0.87	-0.02696
0.9073	ACH-000058	Drug_1221	0.9144	0.007105
0.9894	ACH-000058	Drug_1221	0.9393	-0.05009
0.9283	ACH-000059	Drug_1221	0.897	-0.03129
0.975	ACH-000059	Drug_1221	0.9162	-0.05878
0.9607	ACH-000060	Drug_1221	0.9407	-0.02001
0.9644	ACH-000060	Drug_1221	0.9464	-0.01803
0.874	ACH-000061	Drug_1221	0.9001	0.02607
0.9068	ACH-000061	Drug_1221	0.9074	0.0005944
0.9326	ACH-000062	Drug_1221	0.9398	0.007222
0.9546	ACH-000062	Drug_1221	0.9475	-0.007062
0.8882	ACH-000065	Drug_1221	0.933	0.04481
0.939	ACH-000065	Drug_1221	0.923	-0.01604
0.9951	ACH-000066	Drug_1221	0.9707	-0.02437
0.898	ACH-000067	Drug_1221	0.9385	0.04053
0.9778	ACH-000067	Drug_1221	0.9387	-0.03913
0.9506	ACH-000069	Drug_1221	0.8955	-0.05513
0.7853	ACH-000070	Drug_1221	0.8188	0.03353
0.8525	ACH-000070	Drug_1221	0.865	0.01247
0.8881	ACH-000072	Drug_1221	0.9241	0.03598
0.9284	ACH-000073	Drug_1221	0.9222	-0.006193
0.9586	ACH-000073	Drug_1221	0.9262	-0.0324
0.8285	ACH-000074	Drug_1221	0.8682	0.03975
0.8882	ACH-000074	Drug_1221	0.8773	-0.01089
0.9533	ACH-000075	Drug_1221	0.9631	0.009759
0.9634	ACH-000075	Drug_1221	0.9787	0.01526
0.9793	ACH-000075	Drug_1221	0.9725	-0.006818
0.8635	ACH-000076	Drug_1221	0.8644	0.0009493
0.8769	ACH-000077	Drug_1221	0.8965	0.01958
0.9065	ACH-000078	Drug_1221	0.9182	0.01172
0.9395	ACH-000078	Drug_1221	0.906	-0.03355
0.8793	ACH-000081	Drug_1221	0.9081	0.02875
0.9316	ACH-000082	Drug_1221	0.9535	0.0219
0.9401	ACH-000082	Drug_1221	0.9455	0.005358
0.9277	ACH-000086	Drug_1221	0.9312	0.003479
