AUC	Sample	Drug1	PredictedAUC	AUCError
0.9986	ACH-000002	Drug_107	0.9733	-0.02525
1	ACH-000004	Drug_107	0.9672	-0.03284
1	ACH-000005	Drug_107	0.9767	-0.0233
0.9325	ACH-000006	Drug_107	0.953	0.02051
0.99	ACH-000007	Drug_107	0.967	-0.02302
0.9314	ACH-000008	Drug_107	0.9755	0.0441
1	ACH-000009	Drug_107	0.9698	-0.03024
0.9827	ACH-000011	Drug_107	0.9694	-0.0133
1	ACH-000012	Drug_107	1.001	0.0005939
0.9974	ACH-000013	Drug_107	0.9828	-0.01456
0.9944	ACH-000014	Drug_107	0.9751	-0.01928
0.9857	ACH-000017	Drug_107	0.9661	-0.01965
0.9791	ACH-000018	Drug_107	0.9676	-0.01146
0.9953	ACH-000022	Drug_107	0.9726	-0.02275
0.8664	ACH-000023	Drug_107	0.9865	0.1201
0.7132	ACH-000024	Drug_107	0.9815	0.2683
1	ACH-000027	Drug_107	0.9961	-0.003883
0.9851	ACH-000028	Drug_107	0.9783	-0.006836
0.9557	ACH-000032	Drug_107	0.977	0.02131
1	ACH-000035	Drug_107	0.9653	-0.03468
0.9866	ACH-000038	Drug_107	0.9574	-0.02922
0.998	ACH-000039	Drug_107	0.9717	-0.02632
0.9697	ACH-000040	Drug_107	0.9926	0.0229
0.9816	ACH-000042	Drug_107	0.9915	0.009852
0.9733	ACH-000046	Drug_107	0.9862	0.01293
0.9707	ACH-000048	Drug_107	0.9715	0.0007849
1	ACH-000050	Drug_107	0.9802	-0.01981
0.9576	ACH-000051	Drug_107	0.9709	0.01326
1	ACH-000052	Drug_107	0.9837	-0.0163
1	ACH-000054	Drug_107	0.978	-0.02199
0.9814	ACH-000055	Drug_107	0.9544	-0.02701
0.9782	ACH-000058	Drug_107	0.9623	-0.01588
1	ACH-000059	Drug_107	0.958	-0.04196
0.9682	ACH-000060	Drug_107	0.9661	-0.002139
0.9874	ACH-000062	Drug_107	0.9706	-0.0168
0.9259	ACH-000065	Drug_107	0.9665	0.04063
1	ACH-000066	Drug_107	0.9776	-0.02239
0.9927	ACH-000067	Drug_107	0.9582	-0.03452
0.9948	ACH-000068	Drug_107	0.979	-0.01581
0.9892	ACH-000069	Drug_107	0.937	-0.05222
1	ACH-000073	Drug_107	0.9753	-0.02467
0.9884	ACH-000074	Drug_107	0.9359	-0.05246
1	ACH-000075	Drug_107	0.9779	-0.02209
1	ACH-000076	Drug_107	0.9709	-0.02906
0.9974	ACH-000081	Drug_107	0.9809	-0.0165
0.9983	ACH-000082	Drug_107	0.9619	-0.03644
1	ACH-000086	Drug_107	0.988	-0.01204
0.8686	ACH-000087	Drug_107	0.9763	0.1077
0.998	ACH-000090	Drug_107	0.9738	-0.02418
0.9721	ACH-000091	Drug_107	0.9697	-0.002374
0.9787	ACH-000092	Drug_107	0.9841	0.005423
1	ACH-000093	Drug_107	0.9836	-0.01642
0.997	ACH-000094	Drug_107	0.9938	-0.003207
