AUC	Sample	Drug1	PredictedAUC	AUCError
0.9832	ACH-000001	Drug_1360	0.8779	-0.1053
0.6525	ACH-000002	Drug_1360	0.7492	0.09665
0.8598	ACH-000002	Drug_1360	0.7291	-0.1307
0.6239	ACH-000004	Drug_1360	0.7869	0.163
0.7997	ACH-000004	Drug_1360	0.7439	-0.05584
0.8205	ACH-000005	Drug_1360	0.8131	-0.007367
0.5212	ACH-000006	Drug_1360	0.6645	0.1433
0.5742	ACH-000006	Drug_1360	0.6711	0.09693
0.7725	ACH-000006	Drug_1360	0.6554	-0.1171
0.8028	ACH-000007	Drug_1360	0.848	0.04522
0.8448	ACH-000007	Drug_1360	0.8682	0.0234
0.9052	ACH-000007	Drug_1360	0.8634	-0.04176
0.9341	ACH-000008	Drug_1360	0.8168	-0.1173
0.9437	ACH-000008	Drug_1360	0.7861	-0.1576
1	ACH-000008	Drug_1360	0.8217	-0.1783
0.6083	ACH-000009	Drug_1360	0.8458	0.2375
0.8508	ACH-000009	Drug_1360	0.8264	-0.02437
0.9576	ACH-000009	Drug_1360	0.7936	-0.164
0.7808	ACH-000011	Drug_1360	0.7857	0.004945
0.7366	ACH-000012	Drug_1360	0.7898	0.05319
0.7833	ACH-000012	Drug_1360	0.8689	0.08558
0.9264	ACH-000012	Drug_1360	0.8543	-0.07208
0.7277	ACH-000013	Drug_1360	0.8046	0.07692
0.841	ACH-000014	Drug_1360	0.7965	-0.04451
0.8614	ACH-000018	Drug_1360	0.8535	-0.007929
0.7368	ACH-000019	Drug_1360	0.8667	0.1299
0.7481	ACH-000019	Drug_1360	0.8819	0.1338
0.9541	ACH-000019	Drug_1360	0.8714	-0.08268
0.9047	ACH-000022	Drug_1360	0.8461	-0.0586
0.7537	ACH-000023	Drug_1360	0.8126	0.05891
0.9414	ACH-000023	Drug_1360	0.7962	-0.1452
0.745	ACH-000024	Drug_1360	0.7043	-0.04067
0.7655	ACH-000024	Drug_1360	0.6766	-0.08888
0.9058	ACH-000027	Drug_1360	0.8623	-0.04352
0.9768	ACH-000028	Drug_1360	0.9178	-0.05895
0.8645	ACH-000032	Drug_1360	0.7876	-0.07693
0.8708	ACH-000035	Drug_1360	0.7636	-0.1072
0.7923	ACH-000038	Drug_1360	0.7654	-0.02686
0.6833	ACH-000039	Drug_1360	0.7	0.01669
0.7889	ACH-000040	Drug_1360	0.8219	0.03296
0.8628	ACH-000040	Drug_1360	0.8238	-0.03897
0.8819	ACH-000042	Drug_1360	0.8188	-0.06313
0.9249	ACH-000042	Drug_1360	0.8123	-0.1126
0.9451	ACH-000042	Drug_1360	0.8503	-0.09484
0.9567	ACH-000042	Drug_1360	0.8357	-0.121
0.7706	ACH-000046	Drug_1360	0.8503	0.07967
0.8652	ACH-000046	Drug_1360	0.8172	-0.04797
0.5647	ACH-000048	Drug_1360	0.735	0.1703
0.7412	ACH-000048	Drug_1360	0.7661	0.02492
0.6177	ACH-000050	Drug_1360	0.6676	0.04989
0.9343	ACH-000050	Drug_1360	0.6374	-0.2969
0.8488	ACH-000051	Drug_1360	0.7885	-0.0603
