AUC	Sample	Drug1	PredictedAUC	AUCError
0.8477	ACH-000001	Drug_1404	0.8845	0.03683
0.727	ACH-000002	Drug_1404	0.8507	0.1237
0.8036	ACH-000002	Drug_1404	0.7966	-0.006975
0.8881	ACH-000004	Drug_1404	0.7641	-0.124
0.7257	ACH-000006	Drug_1404	0.7002	-0.02549
0.9522	ACH-000006	Drug_1404	0.6257	-0.3265
0.817	ACH-000007	Drug_1404	0.8459	0.02892
0.8546	ACH-000007	Drug_1404	0.7656	-0.08905
0.8691	ACH-000008	Drug_1404	0.7952	-0.07393
0.8793	ACH-000008	Drug_1404	0.7943	-0.08499
0.9356	ACH-000009	Drug_1404	0.7482	-0.1874
0.9175	ACH-000012	Drug_1404	0.7207	-0.1968
0.9059	ACH-000019	Drug_1404	0.8239	-0.08199
0.9401	ACH-000019	Drug_1404	0.8507	-0.08942
0.9878	ACH-000020	Drug_1404	0.7909	-0.1969
0.9826	ACH-000023	Drug_1404	0.8295	-0.1531
0.9749	ACH-000024	Drug_1404	0.7567	-0.2182
0.9999	ACH-000024	Drug_1404	0.7618	-0.2381
0.8554	ACH-000035	Drug_1404	0.7608	-0.0946
0.8226	ACH-000038	Drug_1404	0.8465	0.02394
0.9005	ACH-000040	Drug_1404	0.8157	-0.08477
0.9089	ACH-000042	Drug_1404	0.8159	-0.09305
0.9414	ACH-000046	Drug_1404	0.7743	-0.1671
0.8321	ACH-000048	Drug_1404	0.8542	0.0221
0.8937	ACH-000050	Drug_1404	0.7574	-0.1363
0.9098	ACH-000052	Drug_1404	0.7886	-0.1212
0.7411	ACH-000054	Drug_1404	0.8436	0.1025
0.83	ACH-000055	Drug_1404	0.8665	0.03645
0.8413	ACH-000055	Drug_1404	0.8085	-0.03279
0.7445	ACH-000056	Drug_1404	0.6434	-0.1011
0.7774	ACH-000058	Drug_1404	0.804	0.02659
0.7046	ACH-000059	Drug_1404	0.7346	0.03
0.7649	ACH-000059	Drug_1404	0.6966	-0.06832
0.9501	ACH-000060	Drug_1404	0.8047	-0.1454
0.8488	ACH-000061	Drug_1404	0.7121	-0.1367
0.8523	ACH-000061	Drug_1404	0.7505	-0.1018
0.8978	ACH-000061	Drug_1404	0.7181	-0.1797
0.791	ACH-000062	Drug_1404	0.839	0.04802
0.6909	ACH-000065	Drug_1404	0.741	0.05014
0.8397	ACH-000067	Drug_1404	0.7843	-0.05543
0.6373	ACH-000070	Drug_1404	0.6623	0.02503
0.6475	ACH-000070	Drug_1404	0.6797	0.03217
0.6539	ACH-000070	Drug_1404	0.6594	0.005506
0.8617	ACH-000072	Drug_1404	0.6834	-0.1783
0.8618	ACH-000072	Drug_1404	0.6897	-0.1721
0.9185	ACH-000073	Drug_1404	0.8107	-0.1078
0.7784	ACH-000074	Drug_1404	0.7168	-0.06163
0.8013	ACH-000074	Drug_1404	0.7234	-0.07787
0.8822	ACH-000075	Drug_1404	0.8476	-0.03461
0.7583	ACH-000078	Drug_1404	0.763	0.004744
0.8315	ACH-000081	Drug_1404	0.6822	-0.1493
0.8591	ACH-000082	Drug_1404	0.7411	-0.118
0.8816	ACH-000082	Drug_1404	0.745	-0.1366
0.7788	ACH-000087	Drug_1404	0.7313	-0.04746
0.7768	ACH-000090	Drug_1404	0.8148	0.03797
0.8906	ACH-000091	Drug_1404	0.8981	0.007547
0.9323	ACH-000092	Drug_1404	0.8886	-0.04367
0.9306	ACH-000094	Drug_1404	0.8106	-0.12
0.8135	ACH-000096	Drug_1404	0.783	-0.03045
0.741	ACH-000098	Drug_1404	0.7679	0.02689
0.9255	ACH-000099	Drug_1404	0.7748	-0.1507
0.8209	ACH-000102	Drug_1404	0.8074	-0.0135
0.9707	ACH-000103	Drug_1404	0.7852	-0.1855
0.7109	ACH-000104	Drug_1404	0.7672	0.05632
0.7172	ACH-000104	Drug_1404	0.7468	0.02958
0.6692	ACH-000105	Drug_1404	0.5649	-0.1043
0.8125	ACH-000106	Drug_1404	0.8168	0.004269
0.9145	ACH-000106	Drug_1404	0.787	-0.1275
0.7488	ACH-000111	Drug_1404	0.7555	0.006653
0.8522	ACH-000111	Drug_1404	0.7916	-0.06059
0.8236	ACH-000113	Drug_1404	0.7491	-0.0745
0.9097	ACH-000113	Drug_1404	0.7871	-0.1226
0.9716	ACH-000114	Drug_1404	0.8353	-0.1363
0.7931	ACH-000115	Drug_1404	0.8555	0.06243
0.7568	ACH-000116	Drug_1404	0.7703	0.0135
0.8205	ACH-000117	Drug_1404	0.7189	-0.1016
0.8665	ACH-000117	Drug_1404	0.7635	-0.103
0.844	ACH-000118	Drug_1404	0.8333	-0.01069
0.903	ACH-000118	Drug_1404	0.8276	-0.07543
0.6857	ACH-000120	Drug_1404	0.7232	0.03755
0.7469	ACH-000120	Drug_1404	0.723	-0.02387
0.7972	ACH-000120	Drug_1404	0.7488	-0.04839
0.9779	ACH-000121	Drug_1404	0.8622	-0.1157
0.7925	ACH-000124	Drug_1404	0.762	-0.03046
0.9096	ACH-000129	Drug_1404	0.6753	-0.2343
0.7451	ACH-000132	Drug_1404	0.8258	0.08073
0.8529	ACH-000132	Drug_1404	0.847	-0.005888
0.7971	ACH-000135	Drug_1404	0.7557	-0.04142
0.9211	ACH-000136	Drug_1404	0.7526	-0.1685
0.8432	ACH-000137	Drug_1404	0.7678	-0.07536
0.9005	ACH-000138	Drug_1404	0.8292	-0.07133
0.7152	ACH-000139	Drug_1404	0.8389	0.1237
0.8453	ACH-000139	Drug_1404	0.8382	-0.007078
0.7882	ACH-000142	Drug_1404	0.7606	-0.02756
0.8965	ACH-000144	Drug_1404	0.7607	-0.1358
0.9999	ACH-000146	Drug_1404	0.7905	-0.2094
0.9049	ACH-000147	Drug_1404	0.7397	-0.1652
0.9158	ACH-000147	Drug_1404	0.7505	-0.1653
0.7827	ACH-000148	Drug_1404	0.804	0.02126
0.8323	ACH-000148	Drug_1404	0.8733	0.04104
0.8309	ACH-000149	Drug_1404	0.793	-0.03788
0.8467	ACH-000151	Drug_1404	0.8059	-0.04078
0.9822	ACH-000153	Drug_1404	0.8627	-0.1195
0.8645	ACH-000155	Drug_1404	0.8377	-0.02679
0.8011	ACH-000157	Drug_1404	0.7427	-0.05839
0.8168	ACH-000157	Drug_1404	0.7822	-0.03462
0.815	ACH-000159	Drug_1404	0.7808	-0.03423
0.801	ACH-000161	Drug_1404	0.7298	-0.0712
0.8046	ACH-000162	Drug_1404	0.6805	-0.1241
0.7045	ACH-000168	Drug_1404	0.7556	0.05106
0.7483	ACH-000168	Drug_1404	0.7945	0.04615
0.9232	ACH-000169	Drug_1404	0.7914	-0.1318
0.937	ACH-000171	Drug_1404	0.8095	-0.1275
0.8417	ACH-000174	Drug_1404	0.8538	0.0121
0.9099	ACH-000174	Drug_1404	0.8806	-0.02929
0.9423	ACH-000176	Drug_1404	0.8184	-0.1239
0.9408	ACH-000178	Drug_1404	0.8383	-0.1025
0.9838	ACH-000178	Drug_1404	0.8523	-0.1315
0.8086	ACH-000181	Drug_1404	0.7396	-0.06904
0.7671	ACH-000183	Drug_1404	0.8069	0.03982
0.8577	ACH-000183	Drug_1404	0.7501	-0.1076
0.9249	ACH-000186	Drug_1404	0.8483	-0.07658
0.8882	ACH-000188	Drug_1404	0.7493	-0.1389
0.9885	ACH-000189	Drug_1404	0.8408	-0.1477
0.9015	ACH-000190	Drug_1404	0.7839	-0.1176
0.7353	ACH-000191	Drug_1404	0.8271	0.09181
0.8886	ACH-000196	Drug_1404	0.78	-0.1086
0.8964	ACH-000200	Drug_1404	0.8467	-0.04966
0.8027	ACH-000201	Drug_1404	0.648	-0.1547
0.9699	ACH-000204	Drug_1404	0.7869	-0.183
0.7753	ACH-000207	Drug_1404	0.8081	0.03284
0.9584	ACH-000210	Drug_1404	0.7861	-0.1723
0.8041	ACH-000211	Drug_1404	0.7917	-0.0124
0.8337	ACH-000212	Drug_1404	0.7998	-0.03392
0.9512	ACH-000212	Drug_1404	0.8202	-0.131
0.8008	ACH-000218	Drug_1404	0.8413	0.04045
0.69	ACH-000219	Drug_1404	0.8401	0.1501
0.7454	ACH-000219	Drug_1404	0.8367	0.09132
0.8688	ACH-000219	Drug_1404	0.8329	-0.03591
0.9	ACH-000221	Drug_1404	0.7956	-0.1044
0.853	ACH-000222	Drug_1404	0.8664	0.01338
0.8268	ACH-000223	Drug_1404	0.793	-0.03384
0.8854	ACH-000223	Drug_1404	0.7974	-0.08801
0.9161	ACH-000223	Drug_1404	0.7796	-0.1365
0.9706	ACH-000223	Drug_1404	0.7892	-0.1814
0.7814	ACH-000226	Drug_1404	0.8304	0.04901
0.8798	ACH-000227	Drug_1404	0.8751	-0.00468
0.7315	ACH-000231	Drug_1404	0.7786	0.04706
0.8338	ACH-000231	Drug_1404	0.7954	-0.03839
0.8977	ACH-000232	Drug_1404	0.8535	-0.0442
0.9888	ACH-000235	Drug_1404	0.8451	-0.1437
0.9634	ACH-000236	Drug_1404	0.8389	-0.1245
0.8053	ACH-000238	Drug_1404	0.8304	0.02514
0.9302	ACH-000242	Drug_1404	0.7414	-0.1888
0.9919	ACH-000243	Drug_1404	0.8665	-0.1254
0.9046	ACH-000244	Drug_1404	0.7584	-0.1462
0.7198	ACH-000245	Drug_1404	0.7231	0.003255
0.8713	ACH-000247	Drug_1404	0.8795	0.008223
0.8004	ACH-000248	Drug_1404	0.7475	-0.05292
0.8183	ACH-000248	Drug_1404	0.7797	-0.03863
0.9356	ACH-000248	Drug_1404	0.7819	-0.1537
0.9377	ACH-000248	Drug_1404	0.7568	-0.1809
0.8919	ACH-000249	Drug_1404	0.837	-0.05491
0.9594	ACH-000249	Drug_1404	0.865	-0.09443
0.8739	ACH-000250	Drug_1404	0.8221	-0.05182
