AUC	Sample	Drug1	PredictedAUC	AUCError
0.8204	ACH-000001	Drug_515	0.8394	0.01898
0.7719	ACH-000002	Drug_515	0.8101	0.03819
0.8822	ACH-000002	Drug_515	0.7962	-0.08605
0.7549	ACH-000004	Drug_515	0.8425	0.08756
0.8863	ACH-000004	Drug_515	0.8421	-0.04421
0.7886	ACH-000005	Drug_515	0.8404	0.05179
0.628	ACH-000006	Drug_515	0.7576	0.1296
0.8308	ACH-000006	Drug_515	0.7611	-0.0697
0.7982	ACH-000007	Drug_515	0.7563	-0.04194
0.8596	ACH-000007	Drug_515	0.7506	-0.109
0.898	ACH-000007	Drug_515	0.7659	-0.1321
0.801	ACH-000008	Drug_515	0.8727	0.07171
0.9776	ACH-000008	Drug_515	0.8504	-0.1272
0.6838	ACH-000009	Drug_515	0.8441	0.1603
0.825	ACH-000009	Drug_515	0.7568	-0.06819
0.8749	ACH-000011	Drug_515	0.6856	-0.1893
0.1989	ACH-000012	Drug_515	0.499	0.3001
0.2892	ACH-000012	Drug_515	0.5414	0.2522
0.4368	ACH-000012	Drug_515	0.434	-0.002788
0.5177	ACH-000012	Drug_515	0.5123	-0.005432
0.7626	ACH-000013	Drug_515	0.8312	0.06863
0.8381	ACH-000014	Drug_515	0.857	0.01894
0.4355	ACH-000017	Drug_515	0.512	0.07649
0.9127	ACH-000018	Drug_515	0.8764	-0.03626
0.8061	ACH-000019	Drug_515	0.8685	0.06244
0.9232	ACH-000019	Drug_515	0.8726	-0.05056
0.7897	ACH-000022	Drug_515	0.7553	-0.03438
0.9368	ACH-000023	Drug_515	0.8818	-0.05496
0.9737	ACH-000023	Drug_515	0.8455	-0.1282
0.7389	ACH-000024	Drug_515	0.804	0.06511
0.7841	ACH-000024	Drug_515	0.7999	0.01579
0.8902	ACH-000027	Drug_515	0.8642	-0.02596
0.8443	ACH-000028	Drug_515	0.8405	-0.003842
0.773	ACH-000032	Drug_515	0.795	0.02198
0.6707	ACH-000035	Drug_515	0.8048	0.1341
0.8806	ACH-000038	Drug_515	0.812	-0.06859
0.9979	ACH-000038	Drug_515	0.8289	-0.169
0.8999	ACH-000039	Drug_515	0.8267	-0.07323
0.8622	ACH-000040	Drug_515	0.8715	0.009314
0.9258	ACH-000040	Drug_515	0.8833	-0.0425
0.8104	ACH-000042	Drug_515	0.8372	0.02676
0.9562	ACH-000042	Drug_515	0.8457	-0.1105
0.6444	ACH-000046	Drug_515	0.7681	0.1237
0.8668	ACH-000046	Drug_515	0.7531	-0.1137
0.6953	ACH-000048	Drug_515	0.8388	0.1435
0.8253	ACH-000048	Drug_515	0.8225	-0.002762
0.7408	ACH-000050	Drug_515	0.7011	-0.0397
0.5782	ACH-000051	Drug_515	0.7877	0.2095
0.7571	ACH-000052	Drug_515	0.8197	0.06259
0.8242	ACH-000052	Drug_515	0.845	0.02078
0.8479	ACH-000054	Drug_515	0.8555	0.007574
0.8589	ACH-000054	Drug_515	0.8708	0.01186
0.7603	ACH-000055	Drug_515	0.8502	0.08987
0.7765	ACH-000055	Drug_515	0.8269	0.05044
0.8823	ACH-000055	Drug_515	0.8318	-0.05053
0.5176	ACH-000056	Drug_515	0.7518	0.2342
0.6326	ACH-000058	Drug_515	0.7478	0.1152
0.8273	ACH-000058	Drug_515	0.7377	-0.08955
0.7124	ACH-000059	Drug_515	0.7583	0.04595
0.8063	ACH-000059	Drug_515	0.7375	-0.06878
0.7968	ACH-000060	Drug_515	0.8542	0.05743
