AUC	Sample	Drug1	PredictedAUC	AUCError
0.9982	ACH-000002	Drug_1041	0.9736	-0.02457
0.9804	ACH-000004	Drug_1041	0.9553	-0.02509
0.9681	ACH-000005	Drug_1041	0.9594	-0.008719
0.8285	ACH-000006	Drug_1041	0.8741	0.04555
0.9974	ACH-000007	Drug_1041	0.9575	-0.03992
0.9984	ACH-000008	Drug_1041	0.9492	-0.04922
0.9719	ACH-000009	Drug_1041	0.9533	-0.01862
0.9846	ACH-000011	Drug_1041	0.9581	-0.02654
0.9597	ACH-000012	Drug_1041	0.9742	0.01451
0.9574	ACH-000013	Drug_1041	0.9715	0.01406
0.9338	ACH-000014	Drug_1041	0.9334	-0.0003948
0.9667	ACH-000017	Drug_1041	0.9393	-0.02736
0.916	ACH-000018	Drug_1041	0.9618	0.04578
0.9776	ACH-000019	Drug_1041	0.9442	-0.03339
0.9989	ACH-000022	Drug_1041	0.9527	-0.0462
0.9992	ACH-000023	Drug_1041	0.9623	-0.03687
0.9988	ACH-000027	Drug_1041	0.9586	-0.04023
0.9729	ACH-000028	Drug_1041	0.9786	0.005746
0.9597	ACH-000032	Drug_1041	0.9505	-0.009238
0.9316	ACH-000035	Drug_1041	0.9719	0.04029
0.9412	ACH-000038	Drug_1041	0.9474	0.006169
0.8541	ACH-000039	Drug_1041	0.9421	0.08796
0.9509	ACH-000040	Drug_1041	0.9647	0.01379
0.999	ACH-000042	Drug_1041	0.9656	-0.03342
0.9983	ACH-000046	Drug_1041	0.9795	-0.01881
0.9749	ACH-000048	Drug_1041	0.9702	-0.00466
0.6987	ACH-000050	Drug_1041	0.9389	0.2402
0.9678	ACH-000051	Drug_1041	0.9436	-0.02415
0.9302	ACH-000052	Drug_1041	0.9513	0.02114
0.9784	ACH-000054	Drug_1041	0.9761	-0.002333
0.9205	ACH-000055	Drug_1041	0.9221	0.001614
0.9312	ACH-000058	Drug_1041	0.9644	0.03324
0.9512	ACH-000059	Drug_1041	0.9551	0.003928
0.973	ACH-000060	Drug_1041	0.9568	-0.01621
0.9575	ACH-000062	Drug_1041	0.964	0.006489
0.9989	ACH-000065	Drug_1041	0.9463	-0.05257
0.9367	ACH-000066	Drug_1041	0.9578	0.02109
0.9867	ACH-000068	Drug_1041	0.9579	-0.02879
0.9632	ACH-000069	Drug_1041	0.9517	-0.01152
0.8724	ACH-000070	Drug_1041	0.9317	0.05927
0.9826	ACH-000073	Drug_1041	0.9427	-0.03986
0.9222	ACH-000074	Drug_1041	0.9231	0.0008701
0.9759	ACH-000075	Drug_1041	0.9844	0.008459
0.9629	ACH-000078	Drug_1041	0.9803	0.01745
0.9426	ACH-000081	Drug_1041	0.9256	-0.01703
0.9753	ACH-000082	Drug_1041	0.9659	-0.009393
0.9856	ACH-000086	Drug_1041	0.9693	-0.01629
0.9642	ACH-000087	Drug_1041	0.9577	-0.006459
0.9042	ACH-000090	Drug_1041	0.9758	0.07159
0.933	ACH-000091	Drug_1041	0.9622	0.02917
0.9797	ACH-000092	Drug_1041	0.9581	-0.02157
0.9847	ACH-000093	Drug_1041	0.9558	-0.02891
0.9694	ACH-000094	Drug_1041	0.9638	-0.005602
0.9696	ACH-000096	Drug_1041	0.9399	-0.02965
0.9689	ACH-000097	Drug_1041	0.9736	0.004739
0.9687	ACH-000098	Drug_1041	0.9699	0.001204
0.9766	ACH-000102	Drug_1041	0.9541	-0.02247
0.9663	ACH-000105	Drug_1041	0.9367	-0.02962
0.9687	ACH-000106	Drug_1041	0.9439	-0.0248
0.9954	ACH-000107	Drug_1041	0.9666	-0.02883
0.9984	ACH-000112	Drug_1041	0.9412	-0.0572
0.981	ACH-000113	Drug_1041	0.9313	-0.04965
0.9832	ACH-000114	Drug_1041	0.9712	-0.01201
0.9988	ACH-000115	Drug_1041	0.9506	-0.04821
0.9265	ACH-000116	Drug_1041	0.9729	0.04636
0.9843	ACH-000116	Drug_1041	0.9582	-0.02607
0.9759	ACH-000118	Drug_1041	0.9572	-0.01868
0.9685	ACH-000120	Drug_1041	0.9486	-0.01994
0.9988	ACH-000121	Drug_1041	0.9802	-0.01858
0.9126	ACH-000122	Drug_1041	0.9519	0.03931
0.8954	ACH-000123	Drug_1041	0.9347	0.03927
0.9643	ACH-000124	Drug_1041	0.9404	-0.02392
0.8477	ACH-000126	Drug_1041	0.9568	0.1091
0.9679	ACH-000129	Drug_1041	0.9512	-0.01673
0.9087	ACH-000133	Drug_1041	0.9648	0.0561
0.9586	ACH-000135	Drug_1041	0.9548	-0.003835
0.9595	ACH-000137	Drug_1041	0.9681	0.00857
0.9931	ACH-000138	Drug_1041	0.9779	-0.01518
0.9706	ACH-000139	Drug_1041	0.9699	-0.0007287
0.8826	ACH-000140	Drug_1041	0.8968	0.01422
0.9981	ACH-000142	Drug_1041	0.9822	-0.01591
0.9153	ACH-000146	Drug_1041	0.9278	0.01251
0.9563	ACH-000147	Drug_1041	0.9617	0.005371
0.8712	ACH-000148	Drug_1041	0.9243	0.05308
0.9449	ACH-000149	Drug_1041	0.946	0.001099
0.9984	ACH-000150	Drug_1041	0.9616	-0.03684
0.9004	ACH-000151	Drug_1041	0.9338	0.03343
0.9133	ACH-000152	Drug_1041	0.9404	0.02714
0.9752	ACH-000153	Drug_1041	0.9858	0.01056
0.9067	ACH-000154	Drug_1041	0.9476	0.04088
0.9935	ACH-000155	Drug_1041	0.9645	-0.02897
0.9196	ACH-000156	Drug_1041	0.9517	0.03215
0.9149	ACH-000157	Drug_1041	0.9391	0.02421
0.9387	ACH-000158	Drug_1041	0.9374	-0.00133
0.9905	ACH-000159	Drug_1041	0.971	-0.01952
0.999	ACH-000161	Drug_1041	0.9655	-0.03354
0.9853	ACH-000163	Drug_1041	0.9524	-0.03285
0.9459	ACH-000168	Drug_1041	0.9411	-0.004754
0.9923	ACH-000169	Drug_1041	0.9626	-0.02972
0.9638	ACH-000171	Drug_1041	0.9666	0.002811
0.9823	ACH-000174	Drug_1041	0.9417	-0.04063
0.9586	ACH-000176	Drug_1041	0.987	0.0284
0.9626	ACH-000178	Drug_1041	0.9492	-0.01337
0.9983	ACH-000181	Drug_1041	0.9569	-0.04141
0.9987	ACH-000182	Drug_1041	0.9561	-0.04256
0.9342	ACH-000183	Drug_1041	0.9388	0.004593
0.9981	ACH-000186	Drug_1041	0.9679	-0.03017
0.9741	ACH-000188	Drug_1041	0.9371	-0.03699
0.9988	ACH-000189	Drug_1041	0.9731	-0.02572
0.9207	ACH-000190	Drug_1041	0.963	0.04227
0.9063	ACH-000197	Drug_1041	0.9398	0.03349
0.9996	ACH-000200	Drug_1041	0.9791	-0.02047
0.915	ACH-000201	Drug_1041	0.9341	0.01912
0.9244	ACH-000203	Drug_1041	0.9606	0.03618
0.9165	ACH-000204	Drug_1041	0.9696	0.05314
0.9121	ACH-000205	Drug_1041	0.9507	0.03864
0.9519	ACH-000207	Drug_1041	0.9634	0.01148
0.9216	ACH-000209	Drug_1041	0.9451	0.02348
0.9388	ACH-000211	Drug_1041	0.9524	0.01364
0.9592	ACH-000212	Drug_1041	0.9577	-0.001519
0.9742	ACH-000218	Drug_1041	0.9317	-0.04254
0.9831	ACH-000219	Drug_1041	0.9584	-0.02467
0.9843	ACH-000219	Drug_1041	0.9427	-0.04158
0.9711	ACH-000220	Drug_1041	0.9357	-0.03536
0.9299	ACH-000221	Drug_1041	0.9446	0.01472
0.9983	ACH-000222	Drug_1041	0.9583	-0.04001
0.999	ACH-000222	Drug_1041	0.9755	-0.02349
0.9877	ACH-000225	Drug_1041	1.005	0.01767
0.895	ACH-000226	Drug_1041	0.9197	0.02469
0.9992	ACH-000228	Drug_1041	0.9705	-0.02871
0.9679	ACH-000231	Drug_1041	0.972	0.004147
0.9559	ACH-000232	Drug_1041	0.9409	-0.01497
0.9988	ACH-000235	Drug_1041	0.9747	-0.02413
0.9992	ACH-000236	Drug_1041	0.974	-0.02521
0.9812	ACH-000237	Drug_1041	0.9765	-0.004656
0.9816	ACH-000238	Drug_1041	0.9322	-0.04941
