AUC	Sample	Drug1	PredictedAUC	AUCError
0.7222	ACH-000001	Drug_864	0.8961	0.1739
0.9216	ACH-000001	Drug_864	0.8969	-0.02471
0.6828	ACH-000002	Drug_864	0.7433	0.06053
0.6983	ACH-000002	Drug_864	0.7565	0.05823
0.7177	ACH-000002	Drug_864	0.7448	0.02706
0.8132	ACH-000002	Drug_864	0.7564	-0.05679
0.4204	ACH-000004	Drug_864	0.5705	0.1501
0.5089	ACH-000004	Drug_864	0.5391	0.03021
0.4849	ACH-000005	Drug_864	0.5264	0.04151
0.6715	ACH-000006	Drug_864	0.7422	0.07066
0.73	ACH-000006	Drug_864	0.7381	0.008143
0.7531	ACH-000006	Drug_864	0.7421	-0.01103
0.7926	ACH-000006	Drug_864	0.7015	-0.09111
0.5902	ACH-000007	Drug_864	0.8077	0.2175
0.6002	ACH-000007	Drug_864	0.8414	0.2412
0.67	ACH-000007	Drug_864	0.7323	0.06232
0.724	ACH-000008	Drug_864	0.7594	0.0354
0.7307	ACH-000008	Drug_864	0.7977	0.06702
0.7359	ACH-000008	Drug_864	0.7979	0.06197
0.9065	ACH-000008	Drug_864	0.7858	-0.1207
0.5424	ACH-000009	Drug_864	0.8665	0.3241
0.8641	ACH-000009	Drug_864	0.868	0.003877
0.9002	ACH-000009	Drug_864	0.8608	-0.03937
0.7568	ACH-000011	Drug_864	0.7619	0.005097
0.6785	ACH-000012	Drug_864	0.8241	0.1456
0.8479	ACH-000012	Drug_864	0.8482	0.0002528
0.8588	ACH-000012	Drug_864	0.8441	-0.01472
0.8683	ACH-000012	Drug_864	0.8058	-0.06252
0.9847	ACH-000013	Drug_864	0.8519	-0.1328
0.8274	ACH-000014	Drug_864	0.7826	-0.04482
0.6852	ACH-000017	Drug_864	0.737	0.05176
0.8907	ACH-000018	Drug_864	0.7788	-0.1119
0.8116	ACH-000019	Drug_864	0.8578	0.04618
0.8739	ACH-000019	Drug_864	0.8686	-0.005257
0.9585	ACH-000019	Drug_864	0.816	-0.1425
0.6253	ACH-000020	Drug_864	0.6399	0.01459
0.8262	ACH-000020	Drug_864	0.6609	-0.1653
0.894	ACH-000022	Drug_864	0.8581	-0.03588
0.6752	ACH-000023	Drug_864	0.8547	0.1795
0.7065	ACH-000023	Drug_864	0.7998	0.09328
0.9935	ACH-000023	Drug_864	0.8038	-0.1897
0.7776	ACH-000024	Drug_864	0.7924	0.01478
0.7838	ACH-000024	Drug_864	0.8069	0.02315
0.9961	ACH-000024	Drug_864	0.7962	-0.1999
0.8891	ACH-000027	Drug_864	0.8725	-0.01658
0.9724	ACH-000028	Drug_864	0.9358	-0.03662
0.4825	ACH-000032	Drug_864	0.6733	0.1908
0.7759	ACH-000035	Drug_864	0.8993	0.1234
0.9115	ACH-000035	Drug_864	0.8812	-0.03033
0.9596	ACH-000035	Drug_864	0.8804	-0.07922
0.6976	ACH-000038	Drug_864	0.7567	0.0591
0.9563	ACH-000038	Drug_864	0.8144	-0.1419
0.3656	ACH-000039	Drug_864	0.4448	0.07924
0.7486	ACH-000040	Drug_864	0.81	0.0614
0.7499	ACH-000040	Drug_864	0.8132	0.06329
0.9385	ACH-000040	Drug_864	0.799	-0.1395
0.6844	ACH-000042	Drug_864	0.893	0.2086
0.7854	ACH-000042	Drug_864	0.8095	0.02412
0.9794	ACH-000042	Drug_864	0.8024	-0.177
0.5642	ACH-000046	Drug_864	0.765	0.2008
0.6182	ACH-000046	Drug_864	0.747	0.1288
0.8346	ACH-000046	Drug_864	0.7263	-0.1083
0.6135	ACH-000048	Drug_864	0.6431	0.02962
0.6615	ACH-000048	Drug_864	0.6775	0.01599
0.6678	ACH-000048	Drug_864	0.6564	-0.01136
0.7464	ACH-000048	Drug_864	0.6399	-0.1065
0.726	ACH-000050	Drug_864	0.7701	0.0441
0.764	ACH-000050	Drug_864	0.7469	-0.01709
0.7697	ACH-000050	Drug_864	0.8186	0.04889
0.6102	ACH-000051	Drug_864	0.6395	0.02928
0.5618	ACH-000052	Drug_864	0.8034	0.2416
0.5816	ACH-000052	Drug_864	0.5822	0.0005654
0.6013	ACH-000052	Drug_864	0.7132	0.1119
0.5511	ACH-000054	Drug_864	0.7476	0.1965
0.8169	ACH-000054	Drug_864	0.7175	-0.09939
0.8808	ACH-000054	Drug_864	0.7588	-0.122
0.5093	ACH-000055	Drug_864	0.6201	0.1108
0.536	ACH-000055	Drug_864	0.5556	0.01959
0.5886	ACH-000055	Drug_864	0.6016	0.01296
0.62	ACH-000055	Drug_864	0.614	-0.005973
0.5312	ACH-000056	Drug_864	0.5513	0.02012
0.6685	ACH-000056	Drug_864	0.5465	-0.122
0.6421	ACH-000058	Drug_864	0.7486	0.1065
0.8302	ACH-000058	Drug_864	0.7537	-0.07652
0.3513	ACH-000059	Drug_864	0.4505	0.09923
0.4845	ACH-000059	Drug_864	0.4185	-0.06599
0.5025	ACH-000059	Drug_864	0.4193	-0.08317
0.5424	ACH-000059	Drug_864	0.4873	-0.05511
0.682	ACH-000060	Drug_864	0.7957	0.1137
0.8811	ACH-000060	Drug_864	0.8135	-0.06763
0.8813	ACH-000060	Drug_864	0.7921	-0.08917
0.5066	ACH-000061	Drug_864	0.8164	0.3098
0.7778	ACH-000061	Drug_864	0.8627	0.08487
0.7998	ACH-000061	Drug_864	0.791	-0.00877
0.8094	ACH-000061	Drug_864	0.8137	0.004329
0.9991	ACH-000061	Drug_864	0.8149	-0.1842
0.7951	ACH-000062	Drug_864	0.7891	-0.005995
0.9097	ACH-000062	Drug_864	0.8136	-0.09609
0.4568	ACH-000065	Drug_864	0.6012	0.1444
0.8752	ACH-000065	Drug_864	0.6151	-0.2601
1	ACH-000066	Drug_864	0.8554	-0.1446
0.7905	ACH-000067	Drug_864	0.8074	0.01689
0.9278	ACH-000067	Drug_864	0.8139	-0.1139
0.8703	ACH-000068	Drug_864	0.8838	0.0135
0.5777	ACH-000069	Drug_864	0.7382	0.1605
0.2503	ACH-000070	Drug_864	0.3486	0.09832
0.2836	ACH-000070	Drug_864	0.4061	0.1225
0.3034	ACH-000070	Drug_864	0.3967	0.09331
0.3439	ACH-000070	Drug_864	0.4132	0.06933
0.6318	ACH-000072	Drug_864	0.6147	-0.01714
0.7197	ACH-000072	Drug_864	0.629	-0.09074
0.7359	ACH-000072	Drug_864	0.6305	-0.1054
0.3519	ACH-000073	Drug_864	0.6031	0.2512
0.5398	ACH-000073	Drug_864	0.5841	0.04428
0.6431	ACH-000073	Drug_864	0.5978	-0.04533
0.4652	ACH-000074	Drug_864	0.5895	0.1243
0.5125	ACH-000074	Drug_864	0.6011	0.08859
0.6773	ACH-000074	Drug_864	0.6105	-0.0668
0.8396	ACH-000074	Drug_864	0.6036	-0.236
