AUC	Sample	Drug1	PredictedAUC	AUCError
0.8245	ACH-000001	Drug_1005	0.9289	0.1044
0.959	ACH-000001	Drug_1005	0.9427	-0.0163
0.75	ACH-000002	Drug_1005	0.9267	0.1767
0.9434	ACH-000002	Drug_1005	0.9288	-0.01457
0.9623	ACH-000002	Drug_1005	0.9208	-0.04152
0.9989	ACH-000002	Drug_1005	0.9275	-0.07136
0.748	ACH-000004	Drug_1005	0.9267	0.1787
0.8189	ACH-000004	Drug_1005	0.9214	0.1025
0.958	ACH-000004	Drug_1005	0.921	-0.03704
0.9635	ACH-000004	Drug_1005	0.8952	-0.06834
0.8252	ACH-000005	Drug_1005	0.909	0.08376
0.9905	ACH-000005	Drug_1005	0.9405	-0.05003
0.7155	ACH-000006	Drug_1005	0.8292	0.1137
0.8735	ACH-000006	Drug_1005	0.8477	-0.02576
0.919	ACH-000006	Drug_1005	0.8706	-0.04844
0.7436	ACH-000007	Drug_1005	0.928	0.1844
0.7453	ACH-000007	Drug_1005	0.8927	0.1474
0.8004	ACH-000007	Drug_1005	0.9473	0.1469
0.8658	ACH-000007	Drug_1005	0.909	0.04322
0.9228	ACH-000007	Drug_1005	0.9011	-0.02173
0.9335	ACH-000007	Drug_1005	0.9028	-0.03066
0.6948	ACH-000008	Drug_1005	0.9329	0.2381
0.7803	ACH-000008	Drug_1005	0.9226	0.1423
0.9259	ACH-000008	Drug_1005	0.9392	0.01326
0.7484	ACH-000009	Drug_1005	0.9337	0.1853
0.7619	ACH-000009	Drug_1005	0.9293	0.1674
0.7765	ACH-000009	Drug_1005	0.8759	0.0994
0.8165	ACH-000009	Drug_1005	0.8906	0.07407
0.8638	ACH-000009	Drug_1005	0.8645	0.0006756
0.9282	ACH-000009	Drug_1005	0.906	-0.02218
0.9681	ACH-000009	Drug_1005	0.8917	-0.07635
0.7809	ACH-000011	Drug_1005	0.8523	0.07144
0.8286	ACH-000012	Drug_1005	0.9025	0.07393
0.8615	ACH-000012	Drug_1005	0.8848	0.02326
0.9006	ACH-000012	Drug_1005	0.9278	0.02716
0.952	ACH-000012	Drug_1005	0.9122	-0.03979
0.8194	ACH-000013	Drug_1005	0.9083	0.08889
0.8446	ACH-000013	Drug_1005	0.9215	0.07687
0.9956	ACH-000013	Drug_1005	0.9373	-0.05826
0.6769	ACH-000014	Drug_1005	0.9036	0.2267
0.7713	ACH-000014	Drug_1005	0.9091	0.1378
0.8678	ACH-000014	Drug_1005	0.9024	0.03456
0.8524	ACH-000017	Drug_1005	0.8949	0.04248
0.9908	ACH-000017	Drug_1005	0.8638	-0.127
1	ACH-000017	Drug_1005	0.8375	-0.1625
0.8592	ACH-000018	Drug_1005	0.9077	0.04854
