AUC	Sample	Drug1	PredictedAUC	AUCError
0.9884	ACH-000002	Drug_8	0.9126	-0.07583
0.9763	ACH-000005	Drug_8	0.9306	-0.0457
0.9571	ACH-000006	Drug_8	0.8837	-0.07343
0.9819	ACH-000008	Drug_8	0.9437	-0.03817
0.9707	ACH-000009	Drug_8	0.9394	-0.03132
1	ACH-000014	Drug_8	0.9482	-0.05182
1	ACH-000017	Drug_8	0.9394	-0.06058
0.9549	ACH-000018	Drug_8	0.9503	-0.004565
0.9946	ACH-000022	Drug_8	0.9262	-0.06842
0.985	ACH-000023	Drug_8	0.9372	-0.04779
0.8081	ACH-000024	Drug_8	0.8979	0.08982
0.9955	ACH-000027	Drug_8	0.9295	-0.06604
0.9765	ACH-000032	Drug_8	0.9311	-0.04539
1	ACH-000035	Drug_8	0.9261	-0.07392
1	ACH-000039	Drug_8	0.9226	-0.07738
0.9706	ACH-000040	Drug_8	0.9616	-0.00901
0.9884	ACH-000042	Drug_8	0.9531	-0.03529
0.9937	ACH-000046	Drug_8	0.9351	-0.0586
0.9584	ACH-000048	Drug_8	0.9114	-0.04697
1	ACH-000051	Drug_8	0.9068	-0.09324
1	ACH-000052	Drug_8	0.9182	-0.08181
0.9886	ACH-000054	Drug_8	0.9461	-0.04253
0.9246	ACH-000055	Drug_8	0.9316	0.006975
1	ACH-000058	Drug_8	0.9277	-0.07235
0.9667	ACH-000059	Drug_8	0.9223	-0.04439
0.9921	ACH-000060	Drug_8	0.9368	-0.05534
0.9731	ACH-000062	Drug_8	0.9218	-0.0513
0.936	ACH-000065	Drug_8	0.9205	-0.01549
0.973	ACH-000066	Drug_8	0.9212	-0.05185
0.9813	ACH-000067	Drug_8	0.9303	-0.05104
1	ACH-000068	Drug_8	0.9301	-0.06986
0.896	ACH-000069	Drug_8	0.9351	0.03914
0.9787	ACH-000073	Drug_8	0.9106	-0.06809
1	ACH-000081	Drug_8	0.8923	-0.1077
0.9759	ACH-000082	Drug_8	0.942	-0.03388
1	ACH-000087	Drug_8	0.8863	-0.1137
0.9917	ACH-000090	Drug_8	0.9386	-0.05305
0.9913	ACH-000091	Drug_8	0.9444	-0.04693
1	ACH-000093	Drug_8	0.9329	-0.06714
0.988	ACH-000096	Drug_8	0.9377	-0.05025
1	ACH-000097	Drug_8	0.9652	-0.03481
0.9919	ACH-000098	Drug_8	0.9325	-0.05936
1	ACH-000102	Drug_8	0.9469	-0.05308
0.9922	ACH-000107	Drug_8	0.9357	-0.05654
0.9618	ACH-000110	Drug_8	0.9307	-0.03113
0.967	ACH-000112	Drug_8	0.8899	-0.07712
0.9763	ACH-000115	Drug_8	0.9031	-0.07323
0.9897	ACH-000116	Drug_8	0.9306	-0.05909
1	ACH-000116	Drug_8	0.9572	-0.04283
0.9881	ACH-000117	Drug_8	0.9322	-0.05589
0.9689	ACH-000118	Drug_8	0.909	-0.05992
1	ACH-000122	Drug_8	0.9257	-0.07427
0.9786	ACH-000123	Drug_8	0.9281	-0.05048
0.9575	ACH-000124	Drug_8	0.9347	-0.02279
0.982	ACH-000126	Drug_8	0.9288	-0.05316
1	ACH-000129	Drug_8	0.9234	-0.07657
0.9654	ACH-000132	Drug_8	0.9318	-0.03356
0.9509	ACH-000133	Drug_8	0.9329	-0.01804
0.9945	ACH-000135	Drug_8	0.9015	-0.09302
0.9913	ACH-000136	Drug_8	0.8963	-0.09502
0.9865	ACH-000137	Drug_8	0.9465	-0.04004
0.9877	ACH-000139	Drug_8	0.929	-0.05869
0.7954	ACH-000140	Drug_8	0.8966	0.1012
0.9801	ACH-000147	Drug_8	0.9271	-0.05296
0.8941	ACH-000148	Drug_8	0.924	0.02992
0.9895	ACH-000149	Drug_8	0.9327	-0.05683
0.9776	ACH-000150	Drug_8	0.9551	-0.02245
0.9763	ACH-000151	Drug_8	0.8839	-0.09238
0.9866	ACH-000152	Drug_8	0.9429	-0.04372
1	ACH-000153	Drug_8	0.9423	-0.05769
0.9982	ACH-000154	Drug_8	0.9356	-0.06259
0.9961	ACH-000155	Drug_8	0.9675	-0.02858
0.9724	ACH-000156	Drug_8	0.917	-0.0554
0.9447	ACH-000157	Drug_8	0.9086	-0.03609
0.9755	ACH-000158	Drug_8	0.8991	-0.07642
0.9894	ACH-000161	Drug_8	0.9174	-0.07204
0.8337	ACH-000162	Drug_8	0.9104	0.0767
0.9843	ACH-000163	Drug_8	0.9155	-0.06879
1	ACH-000168	Drug_8	0.9251	-0.07488
0.9615	ACH-000169	Drug_8	0.9341	-0.02738
0.9945	ACH-000171	Drug_8	0.9347	-0.05985
1	ACH-000176	Drug_8	0.9323	-0.0677
0.9948	ACH-000178	Drug_8	0.9457	-0.04912
0.9721	ACH-000180	Drug_8	0.9302	-0.04186
0.9691	ACH-000181	Drug_8	0.9571	-0.01202
0.9999	ACH-000183	Drug_8	0.9027	-0.09719
1	ACH-000186	Drug_8	0.9451	-0.05487
1	ACH-000188	Drug_8	0.9355	-0.0645
0.9684	ACH-000189	Drug_8	0.937	-0.03142
0.9978	ACH-000190	Drug_8	0.9282	-0.06958
0.9776	ACH-000194	Drug_8	0.946	-0.03155
0.9817	ACH-000195	Drug_8	0.9145	-0.06722
1	ACH-000197	Drug_8	0.8751	-0.1249
0.9979	ACH-000201	Drug_8	0.9074	-0.09047
0.9673	ACH-000203	Drug_8	0.9354	-0.03191
0.9744	ACH-000204	Drug_8	0.938	-0.03641
1	ACH-000205	Drug_8	0.9169	-0.08307
1	ACH-000218	Drug_8	0.9237	-0.07627
1	ACH-000219	Drug_8	0.9637	-0.03626
0.9951	ACH-000220	Drug_8	0.8767	-0.1184
0.9907	ACH-000221	Drug_8	0.9307	-0.05995
0.9952	ACH-000222	Drug_8	0.9606	-0.03461
1	ACH-000222	Drug_8	0.9481	-0.05192
0.9725	ACH-000227	Drug_8	0.9203	-0.0522
0.9846	ACH-000228	Drug_8	0.9285	-0.0561
0.9796	ACH-000231	Drug_8	0.9238	-0.05583
0.9935	ACH-000232	Drug_8	0.9175	-0.076
0.9622	ACH-000235	Drug_8	0.9254	-0.03684
0.9974	ACH-000236	Drug_8	0.9144	-0.08296
0.9303	ACH-000238	Drug_8	0.9472	0.0169
0.9614	ACH-000239	Drug_8	0.9475	-0.01388
