AUC	Sample	Drug1	PredictedAUC	AUCError
0.9141	ACH-000002	Drug_536	0.913	-0.001148
0.9313	ACH-000004	Drug_536	0.8726	-0.05869
0.8872	ACH-000005	Drug_536	0.9233	0.03615
0.9136	ACH-000007	Drug_536	0.8962	-0.01738
0.7965	ACH-000008	Drug_536	0.8811	0.0846
0.9406	ACH-000009	Drug_536	0.8918	-0.04881
0.9147	ACH-000011	Drug_536	0.8569	-0.05776
0.9296	ACH-000012	Drug_536	0.9035	-0.02606
0.9056	ACH-000013	Drug_536	0.9122	0.006556
0.9221	ACH-000014	Drug_536	0.876	-0.04612
0.9094	ACH-000017	Drug_536	0.8927	-0.01667
0.9146	ACH-000018	Drug_536	0.883	-0.0316
0.977	ACH-000019	Drug_536	0.8766	-0.1004
0.9243	ACH-000022	Drug_536	0.8806	-0.04369
0.851	ACH-000023	Drug_536	0.9651	0.1141
0.8358	ACH-000024	Drug_536	0.8357	-0.0001394
0.9019	ACH-000027	Drug_536	0.94	0.03807
0.9698	ACH-000028	Drug_536	0.9467	-0.0231
0.7425	ACH-000032	Drug_536	0.859	0.1165
0.9285	ACH-000035	Drug_536	0.9061	-0.02239
0.9274	ACH-000038	Drug_536	0.8976	-0.0298
0.8538	ACH-000039	Drug_536	0.8636	0.009776
0.8708	ACH-000040	Drug_536	0.9188	0.04803
0.9615	ACH-000042	Drug_536	0.9424	-0.01912
0.9579	ACH-000046	Drug_536	0.941	-0.01691
0.8934	ACH-000048	Drug_536	0.8694	-0.02404
0.8945	ACH-000051	Drug_536	0.8677	-0.02681
0.8578	ACH-000052	Drug_536	0.8221	-0.03566
0.9056	ACH-000054	Drug_536	0.889	-0.01657
0.8894	ACH-000055	Drug_536	0.8973	0.007918
0.9979	ACH-000058	Drug_536	0.9076	-0.09032
0.8754	ACH-000059	Drug_536	0.8446	-0.03081
0.9148	ACH-000060	Drug_536	0.9055	-0.009295
0.9195	ACH-000062	Drug_536	0.9127	-0.006843
0.9477	ACH-000065	Drug_536	0.877	-0.07071
0.9199	ACH-000066	Drug_536	0.9093	-0.01062
0.8845	ACH-000067	Drug_536	0.9056	0.02108
0.9402	ACH-000068	Drug_536	0.9188	-0.02142
0.8502	ACH-000069	Drug_536	0.8523	0.002103
0.8168	ACH-000070	Drug_536	0.817	0.0002459
0.8654	ACH-000073	Drug_536	0.893	0.02761
0.8449	ACH-000074	Drug_536	0.7579	-0.087
0.9959	ACH-000075	Drug_536	0.9291	-0.06683
0.8388	ACH-000076	Drug_536	0.7894	-0.04936
0.9017	ACH-000081	Drug_536	0.8232	-0.07853
0.9155	ACH-000082	Drug_536	0.909	-0.006474
0.9484	ACH-000086	Drug_536	0.918	-0.03041
0.8712	ACH-000087	Drug_536	0.8359	-0.03533
0.9433	ACH-000090	Drug_536	0.9167	-0.02657
0.9347	ACH-000091	Drug_536	0.9328	-0.001944
0.8655	ACH-000092	Drug_536	0.9126	0.04715
0.9897	ACH-000093	Drug_536	0.9387	-0.05096
0.9921	ACH-000094	Drug_536	0.9352	-0.05687
0.8762	ACH-000096	Drug_536	0.8183	-0.05793
0.9573	ACH-000097	Drug_536	0.946	-0.01131
0.9594	ACH-000098	Drug_536	0.9121	-0.04732
0.8754	ACH-000105	Drug_536	0.815	-0.06037
0.8171	ACH-000106	Drug_536	0.8772	0.06009
0.9804	ACH-000107	Drug_536	0.9387	-0.04168
0.9359	ACH-000112	Drug_536	0.7278	-0.2081
0.8877	ACH-000113	Drug_536	0.8234	-0.06433
0.9906	ACH-000114	Drug_536	0.9073	-0.08329
0.8811	ACH-000115	Drug_536	0.9239	0.04279
0.9155	ACH-000116	Drug_536	0.9095	-0.006047
0.9296	ACH-000116	Drug_536	0.8997	-0.02988
0.8897	ACH-000117	Drug_536	0.8971	0.007362
0.9316	ACH-000118	Drug_536	0.8793	-0.05231
0.9361	ACH-000120	Drug_536	0.8753	-0.06077
0.9957	ACH-000121	Drug_536	0.9079	-0.08777
0.8723	ACH-000123	Drug_536	0.8443	-0.028
0.9071	ACH-000124	Drug_536	0.8768	-0.0303
0.9849	ACH-000126	Drug_536	0.9182	-0.06668
0.8303	ACH-000129	Drug_536	0.8414	0.01107
