AUC	Sample	Drug1	PredictedAUC	AUCError
0.9997	ACH-000002	Drug_1171	0.7701	-0.2296
0.9722	ACH-000004	Drug_1171	0.6625	-0.3097
0.9558	ACH-000005	Drug_1171	0.7371	-0.2187
0.8139	ACH-000006	Drug_1171	0.6486	-0.1653
0.9549	ACH-000007	Drug_1171	0.8597	-0.09523
0.9812	ACH-000008	Drug_1171	0.8279	-0.1533
0.9655	ACH-000009	Drug_1171	0.7253	-0.2402
0.9354	ACH-000011	Drug_1171	0.7732	-0.1622
0.9731	ACH-000012	Drug_1171	0.8488	-0.1243
0.9592	ACH-000013	Drug_1171	0.6721	-0.2871
0.952	ACH-000014	Drug_1171	0.7294	-0.2226
0.9728	ACH-000017	Drug_1171	0.7311	-0.2417
0.9819	ACH-000018	Drug_1171	0.7907	-0.1912
0.9842	ACH-000019	Drug_1171	0.8711	-0.1131
0.8848	ACH-000022	Drug_1171	0.8085	-0.07629
0.9908	ACH-000023	Drug_1171	0.7437	-0.2471
0.8441	ACH-000024	Drug_1171	0.6248	-0.2193
0.959	ACH-000027	Drug_1171	0.8388	-0.1202
0.9341	ACH-000028	Drug_1171	0.9056	-0.02847
0.946	ACH-000032	Drug_1171	0.7743	-0.1717
0.9365	ACH-000035	Drug_1171	0.7588	-0.1777
0.9741	ACH-000038	Drug_1171	0.783	-0.1911
0.9711	ACH-000039	Drug_1171	0.6937	-0.2774
0.9944	ACH-000040	Drug_1171	0.8205	-0.1739
0.9896	ACH-000042	Drug_1171	0.8367	-0.1529
0.9179	ACH-000046	Drug_1171	0.778	-0.1399
0.9449	ACH-000048	Drug_1171	0.7076	-0.2373
0.9589	ACH-000050	Drug_1171	0.5698	-0.3891
0.9316	ACH-000051	Drug_1171	0.7406	-0.191
0.9306	ACH-000052	Drug_1171	0.7888	-0.1418
0.9616	ACH-000054	Drug_1171	0.7799	-0.1817
0.947	ACH-000055	Drug_1171	0.848	-0.099
0.9839	ACH-000058	Drug_1171	0.8069	-0.177
0.94	ACH-000059	Drug_1171	0.6178	-0.3222
0.9671	ACH-000060	Drug_1171	0.7322	-0.2349
0.9852	ACH-000062	Drug_1171	0.8004	-0.1848
0.9846	ACH-000065	Drug_1171	0.7338	-0.2508
0.9442	ACH-000066	Drug_1171	0.8169	-0.1273
0.9376	ACH-000067	Drug_1171	0.7875	-0.1501
0.8928	ACH-000068	Drug_1171	0.9082	0.0154
0.8897	ACH-000069	Drug_1171	0.7112	-0.1785
0.9176	ACH-000070	Drug_1171	0.5142	-0.4034
0.9425	ACH-000073	Drug_1171	0.7138	-0.2287
0.9577	ACH-000074	Drug_1171	0.6646	-0.2931
0.9977	ACH-000075	Drug_1171	0.8714	-0.1263
0.9974	ACH-000076	Drug_1171	0.6423	-0.3551
0.9707	ACH-000078	Drug_1171	0.7295	-0.2412
0.9633	ACH-000081	Drug_1171	0.7617	-0.2016
0.9814	ACH-000082	Drug_1171	0.8046	-0.1768
0.9612	ACH-000086	Drug_1171	0.8915	-0.06968
0.9417	ACH-000087	Drug_1171	0.6558	-0.2859
0.9535	ACH-000090	Drug_1171	0.7742	-0.1793
0.9935	ACH-000091	Drug_1171	0.8253	-0.1682
0.9562	ACH-000092	Drug_1171	0.9154	-0.04081
0.9493	ACH-000093	Drug_1171	0.7913	-0.158
0.8846	ACH-000094	Drug_1171	0.785	-0.09959
0.9229	ACH-000096	Drug_1171	0.6907	-0.2322
0.9793	ACH-000097	Drug_1171	0.8343	-0.145
0.9495	ACH-000098	Drug_1171	0.7935	-0.156
0.9542	ACH-000102	Drug_1171	0.8613	-0.09286
0.9278	ACH-000105	Drug_1171	0.6215	-0.3063
0.9643	ACH-000107	Drug_1171	0.8535	-0.1108
0.9498	ACH-000112	Drug_1171	0.6139	-0.3359
0.9923	ACH-000113	Drug_1171	0.6705	-0.3218
0.9739	ACH-000114	Drug_1171	0.7534	-0.2205
0.942	ACH-000115	Drug_1171	0.7645	-0.1775
0.9614	ACH-000116	Drug_1171	0.7725	-0.1889
0.9922	ACH-000116	Drug_1171	0.7938	-0.1984
0.8995	ACH-000118	Drug_1171	0.7417	-0.1578
0.9786	ACH-000120	Drug_1171	0.7587	-0.2199
0.9571	ACH-000121	Drug_1171	0.8014	-0.1557
0.9514	ACH-000122	Drug_1171	0.7025	-0.2489
0.9638	ACH-000123	Drug_1171	0.6788	-0.285
0.9302	ACH-000124	Drug_1171	0.682	-0.2482
0.9955	ACH-000126	Drug_1171	0.8412	-0.1543
0.9526	ACH-000129	Drug_1171	0.6966	-0.256
0.9586	ACH-000132	Drug_1171	0.7869	-0.1717
0.9418	ACH-000133	Drug_1171	0.7678	-0.174
0.975	ACH-000135	Drug_1171	0.7994	-0.1756
0.9422	ACH-000136	Drug_1171	0.7065	-0.2357
0.9683	ACH-000137	Drug_1171	0.8166	-0.1517
0.9806	ACH-000138	Drug_1171	0.8196	-0.161
0.9573	ACH-000139	Drug_1171	0.7563	-0.201
0.8499	ACH-000140	Drug_1171	0.5904	-0.2595
0.9813	ACH-000141	Drug_1171	0.8305	-0.1508
1	ACH-000142	Drug_1171	0.7535	-0.2465
0.935	ACH-000146	Drug_1171	0.7732	-0.1618
0.9601	ACH-000147	Drug_1171	0.7346	-0.2255
0.9642	ACH-000148	Drug_1171	0.7854	-0.1788
0.9601	ACH-000149	Drug_1171	0.7682	-0.1919
0.926	ACH-000150	Drug_1171	0.8315	-0.09451
0.9141	ACH-000151	Drug_1171	0.662	-0.2521
0.9509	ACH-000152	Drug_1171	0.7895	-0.1614
0.9793	ACH-000153	Drug_1171	0.8699	-0.1094
0.9702	ACH-000154	Drug_1171	0.7958	-0.1744
0.9219	ACH-000155	Drug_1171	0.8043	-0.1176
0.9071	ACH-000156	Drug_1171	0.7671	-0.14
0.9195	ACH-000157	Drug_1171	0.7118	-0.2077
0.9766	ACH-000158	Drug_1171	0.7428	-0.2338
1	ACH-000159	Drug_1171	0.8171	-0.1829
0.9696	ACH-000161	Drug_1171	0.7965	-0.1731
0.9014	ACH-000162	Drug_1171	0.5784	-0.323
0.9584	ACH-000163	Drug_1171	0.5548	-0.4036
0.992	ACH-000168	Drug_1171	0.6714	-0.3206
0.9407	ACH-000169	Drug_1171	0.764	-0.1767
0.9628	ACH-000171	Drug_1171	0.8163	-0.1465
0.9578	ACH-000173	Drug_1171	0.7814	-0.1764
0.9349	ACH-000176	Drug_1171	0.8312	-0.1037
0.886	ACH-000178	Drug_1171	0.8748	-0.01124
0.9638	ACH-000180	Drug_1171	0.9471	-0.01671
0.9811	ACH-000181	Drug_1171	0.7	-0.2811
0.9371	ACH-000182	Drug_1171	0.8119	-0.1252
0.9975	ACH-000183	Drug_1171	0.7292	-0.2683
0.9758	ACH-000186	Drug_1171	0.8734	-0.1024
0.9821	ACH-000188	Drug_1171	0.6829	-0.2992
0.983	ACH-000189	Drug_1171	0.9305	-0.05254
0.9383	ACH-000190	Drug_1171	0.7024	-0.2359
0.9504	ACH-000191	Drug_1171	0.8303	-0.1201
0.7555	ACH-000194	Drug_1171	0.8358	0.08033
