AUC	Sample	Drug1	PredictedAUC	AUCError
0.8477	ACH-000001	Drug_1404	0.8605	0.01282
0.727	ACH-000002	Drug_1404	0.8381	0.1111
0.8036	ACH-000002	Drug_1404	0.8532	0.04962
0.8881	ACH-000004	Drug_1404	0.7643	-0.1238
0.7257	ACH-000006	Drug_1404	0.7426	0.01688
0.9522	ACH-000006	Drug_1404	0.7541	-0.1981
0.817	ACH-000007	Drug_1404	0.7795	-0.03747
0.8546	ACH-000007	Drug_1404	0.8483	-0.006313
0.8691	ACH-000008	Drug_1404	0.8168	-0.05233
0.8793	ACH-000008	Drug_1404	0.8415	-0.03782
0.9356	ACH-000009	Drug_1404	0.7005	-0.2351
0.9175	ACH-000012	Drug_1404	0.658	-0.2595
0.9059	ACH-000019	Drug_1404	0.8393	-0.06664
0.9401	ACH-000019	Drug_1404	0.8233	-0.1168
0.9878	ACH-000020	Drug_1404	0.7887	-0.1991
0.9826	ACH-000023	Drug_1404	0.8765	-0.1061
0.9749	ACH-000024	Drug_1404	0.7708	-0.2041
0.9999	ACH-000024	Drug_1404	0.7125	-0.2874
0.8554	ACH-000035	Drug_1404	0.7369	-0.1185
0.8226	ACH-000038	Drug_1404	0.7558	-0.06682
0.9005	ACH-000040	Drug_1404	0.8567	-0.04382
0.9089	ACH-000042	Drug_1404	0.8258	-0.08312
0.9414	ACH-000046	Drug_1404	0.7586	-0.1828
0.8321	ACH-000048	Drug_1404	0.7179	-0.1142
0.8937	ACH-000050	Drug_1404	0.7909	-0.1028
0.9098	ACH-000052	Drug_1404	0.8203	-0.08947
0.7411	ACH-000054	Drug_1404	0.8139	0.07283
0.83	ACH-000055	Drug_1404	0.8298	-0.0001944
0.8413	ACH-000055	Drug_1404	0.8509	0.009561
0.7445	ACH-000056	Drug_1404	0.6358	-0.1087
0.7774	ACH-000058	Drug_1404	0.775	-0.002402
0.7046	ACH-000059	Drug_1404	0.7946	0.08997
0.7649	ACH-000059	Drug_1404	0.7059	-0.05903
0.9501	ACH-000060	Drug_1404	0.8097	-0.1404
0.8488	ACH-000061	Drug_1404	0.7423	-0.1065
0.8523	ACH-000061	Drug_1404	0.8082	-0.04413
0.8978	ACH-000061	Drug_1404	0.7824	-0.1154
0.791	ACH-000062	Drug_1404	0.8723	0.08134
0.6909	ACH-000065	Drug_1404	0.8224	0.1315
0.8397	ACH-000067	Drug_1404	0.8226	-0.01707
0.6373	ACH-000070	Drug_1404	0.7197	0.08238
0.6475	ACH-000070	Drug_1404	0.6917	0.04416
0.6539	ACH-000070	Drug_1404	0.5884	-0.06554
0.8617	ACH-000072	Drug_1404	0.7596	-0.1021
0.8618	ACH-000072	Drug_1404	0.7631	-0.09867
0.9185	ACH-000073	Drug_1404	0.8008	-0.1177
0.7784	ACH-000074	Drug_1404	0.7207	-0.05767
0.8013	ACH-000074	Drug_1404	0.744	-0.05725
0.8822	ACH-000075	Drug_1404	0.8715	-0.01065
0.7583	ACH-000078	Drug_1404	0.7965	0.0382
0.8315	ACH-000081	Drug_1404	0.7709	-0.06056
0.8591	ACH-000082	Drug_1404	0.7956	-0.06353
0.8816	ACH-000082	Drug_1404	0.8227	-0.05886
0.7788	ACH-000087	Drug_1404	0.7815	0.002666
0.7768	ACH-000090	Drug_1404	0.8442	0.06737
0.8906	ACH-000091	Drug_1404	0.8824	-0.008157
0.9323	ACH-000092	Drug_1404	0.815	-0.1173
0.9306	ACH-000094	Drug_1404	0.8571	-0.07355
0.8135	ACH-000096	Drug_1404	0.7516	-0.06187
0.741	ACH-000098	Drug_1404	0.8517	0.1107
0.9255	ACH-000099	Drug_1404	0.6723	-0.2532
0.8209	ACH-000102	Drug_1404	0.8394	0.01852
0.9707	ACH-000103	Drug_1404	0.8179	-0.1528
0.7109	ACH-000104	Drug_1404	0.6806	-0.03029
0.7172	ACH-000104	Drug_1404	0.6501	-0.06707
0.6692	ACH-000105	Drug_1404	0.6473	-0.02191
0.8125	ACH-000106	Drug_1404	0.8469	0.03444
0.9145	ACH-000106	Drug_1404	0.8321	-0.08237
0.7488	ACH-000111	Drug_1404	0.7828	0.034
0.8522	ACH-000111	Drug_1404	0.7922	-0.06
0.8236	ACH-000113	Drug_1404	0.8157	-0.007868
0.9097	ACH-000113	Drug_1404	0.807	-0.1027
0.9716	ACH-000114	Drug_1404	0.8378	-0.1338
0.7931	ACH-000115	Drug_1404	0.7724	-0.02072
0.7568	ACH-000116	Drug_1404	0.856	0.09918
0.8205	ACH-000117	Drug_1404	0.7636	-0.05692
0.8665	ACH-000117	Drug_1404	0.7775	-0.08902
0.844	ACH-000118	Drug_1404	0.7827	-0.06128
0.903	ACH-000118	Drug_1404	0.8279	-0.07506
0.6857	ACH-000120	Drug_1404	0.7383	0.0526
0.7469	ACH-000120	Drug_1404	0.7538	0.006876
0.7972	ACH-000120	Drug_1404	0.7723	-0.02491
0.9779	ACH-000121	Drug_1404	0.8201	-0.1578
0.7925	ACH-000124	Drug_1404	0.7818	-0.01071
0.9096	ACH-000129	Drug_1404	0.6739	-0.2357
0.7451	ACH-000132	Drug_1404	0.7871	0.04196
0.8529	ACH-000132	Drug_1404	0.785	-0.06791
0.7971	ACH-000135	Drug_1404	0.7862	-0.01095
0.9211	ACH-000136	Drug_1404	0.7792	-0.1419
0.8432	ACH-000137	Drug_1404	0.8551	0.01188
0.9005	ACH-000138	Drug_1404	0.8823	-0.01822
