AUC	Sample	Drug1	PredictedAUC	AUCError
1	ACH-000002	Drug_620	0.9162	-0.0838
1	ACH-000004	Drug_620	0.9643	-0.03572
0.9894	ACH-000005	Drug_620	0.9741	-0.01532
1	ACH-000007	Drug_620	0.9489	-0.05109
0.9824	ACH-000008	Drug_620	0.9622	-0.02025
0.9314	ACH-000009	Drug_620	0.9252	-0.006151
0.9701	ACH-000011	Drug_620	0.9485	-0.02162
1	ACH-000012	Drug_620	0.9396	-0.0604
1	ACH-000013	Drug_620	0.968	-0.03197
0.9902	ACH-000014	Drug_620	0.9851	-0.005107
0.9148	ACH-000018	Drug_620	0.9684	0.05357
0.9874	ACH-000019	Drug_620	0.9653	-0.02211
0.7666	ACH-000022	Drug_620	0.9684	0.2018
0.98	ACH-000023	Drug_620	1.012	0.0322
0.5668	ACH-000024	Drug_620	0.6961	0.1293
0.9111	ACH-000027	Drug_620	0.953	0.04186
0.9906	ACH-000028	Drug_620	0.9669	-0.02369
0.6562	ACH-000032	Drug_620	0.7709	0.1147
1	ACH-000035	Drug_620	0.9796	-0.02038
0.8254	ACH-000038	Drug_620	0.8526	0.02719
0.9654	ACH-000039	Drug_620	0.9409	-0.02445
0.9825	ACH-000040	Drug_620	0.937	-0.04554
1	ACH-000042	Drug_620	0.9874	-0.01255
0.9907	ACH-000046	Drug_620	0.955	-0.03571
0.9486	ACH-000048	Drug_620	0.9811	0.03247
0.6742	ACH-000050	Drug_620	0.7856	0.1114
0.9906	ACH-000051	Drug_620	0.9472	-0.04337
0.984	ACH-000052	Drug_620	0.9347	-0.04932
1	ACH-000054	Drug_620	0.9659	-0.03412
0.9515	ACH-000055	Drug_620	0.4877	-0.4638
0.6301	ACH-000056	Drug_620	0.5948	-0.03531
0.9843	ACH-000058	Drug_620	0.9536	-0.03071
0.2932	ACH-000059	Drug_620	0.5281	0.2349
0.9859	ACH-000060	Drug_620	0.9821	-0.003791
0.3479	ACH-000061	Drug_620	0.6219	0.274
0.9937	ACH-000062	Drug_620	0.9905	-0.00315
0.9976	ACH-000065	Drug_620	0.9643	-0.03332
1	ACH-000066	Drug_620	0.951	-0.04899
0.9861	ACH-000067	Drug_620	0.9604	-0.02572
0.9266	ACH-000068	Drug_620	0.9171	-0.009494
0.8651	ACH-000069	Drug_620	0.9244	0.05926
0.4723	ACH-000070	Drug_620	0.539	0.06674
0.8093	ACH-000073	Drug_620	0.9403	0.131
0.9848	ACH-000074	Drug_620	0.9398	-0.04505
1	ACH-000075	Drug_620	0.9596	-0.04038
0.7747	ACH-000076	Drug_620	0.967	0.1923
0.9686	ACH-000081	Drug_620	0.8451	-0.1235
1	ACH-000082	Drug_620	0.9412	-0.05878
0.9646	ACH-000086	Drug_620	0.9655	0.0008514
0.9269	ACH-000087	Drug_620	0.9399	0.01299
0.9234	ACH-000090	Drug_620	0.9623	0.03887
0.9893	ACH-000091	Drug_620	1.009	0.01966
0.8655	ACH-000092	Drug_620	0.9647	0.0992
0.9384	ACH-000093	Drug_620	0.9684	0.02996
0.9865	ACH-000094	Drug_620	0.9864	-0.0001237
0.9093	ACH-000096	Drug_620	0.9328	0.02354
0.9745	ACH-000097	Drug_620	0.9837	0.009228
0.9424	ACH-000098	Drug_620	0.9524	0.009971
0.9834	ACH-000102	Drug_620	0.976	-0.007437
0.8301	ACH-000105	Drug_620	0.7882	-0.04191
0.3942	ACH-000106	Drug_620	0.6629	0.2687
0.9698	ACH-000107	Drug_620	0.9762	0.006387
0.9913	ACH-000112	Drug_620	0.9853	-0.006015
1	ACH-000113	Drug_620	0.9602	-0.03977
1	ACH-000114	Drug_620	0.9706	-0.02937
0.9715	ACH-000115	Drug_620	0.9608	-0.0107
0.9701	ACH-000116	Drug_620	0.9629	-0.007186
0.9753	ACH-000116	Drug_620	0.9475	-0.02785
0.9381	ACH-000117	Drug_620	0.9638	0.02573
0.8776	ACH-000118	Drug_620	0.9499	0.07227
0.966	ACH-000121	Drug_620	0.9848	0.01884
0.5116	ACH-000122	Drug_620	0.8576	0.346
0.9017	ACH-000123	Drug_620	0.9438	0.04205
0.2787	ACH-000124	Drug_620	0.9316	0.6529
1	ACH-000126	Drug_620	0.97	-0.02997
